Wall time,Step,Value
1720128943.761055,0,2.212953805923462
1720128948.589597,1,2.0196406841278076
1720128952.90754,2,1.8506088256835938
1720128957.04496,3,1.7003005743026733
1720128962.87058,4,1.5685570240020752
1720128968.603491,5,1.453371524810791
1720128972.713317,6,1.3511582612991333
1720128978.028314,7,1.2636351585388184
1720128982.209936,8,1.1859056949615479
1720128986.049999,9,1.1179391145706177
1720128991.0626,10,1.0622844696044922
1720128995.221544,11,1.0166571140289307
1720128999.078246,12,0.9802426695823669
1720129003.662425,13,0.9496392011642456
1720129008.15255,14,0.9256531596183777
1720129012.280523,15,0.9043514728546143
1720129016.637358,16,0.8869966864585876
1720129021.653564,17,0.8718827962875366
1720129025.492154,18,0.8592485189437866
1720129029.670654,19,0.8484662771224976
1720129034.908067,20,0.8388739824295044
1720129039.079518,21,0.83050137758255
1720129043.116688,22,0.8233062028884888
1720129048.462043,23,0.8171521425247192
1720129052.594764,24,0.8114604353904724
1720129057.481542,25,0.8067461252212524
1720129066.828908,26,0.8019887804985046
1720129072.912501,27,0.7983976602554321
1720129077.663167,28,0.7950909733772278
1720129081.547208,29,0.791881263256073
1720129085.677649,30,0.7890216708183289
1720129090.666024,31,0.7866714596748352
1720129094.805261,32,0.7843373417854309
1720129098.731367,33,0.7823594808578491
1720129103.912077,34,0.7802852988243103
1720129107.786293,35,0.7790130972862244
1720129111.900564,36,0.7773777842521667
1720129117.254125,37,0.7760002017021179
1720129121.381189,38,0.7746977806091309
1720129125.458484,39,0.7736676335334778
1720129130.836761,40,0.7725375890731812
1720129134.987016,41,0.7718185186386108
1720129138.864336,42,0.7709218859672546
1720129143.897704,43,0.7699003219604492
1720129147.800777,44,0.7693589925765991
1720129151.906958,45,0.7688198089599609
1720129156.616368,46,0.7683085799217224
1720129160.981884,47,0.7678183317184448
1720129165.184515,48,0.7673026323318481
1720129169.547802,49,0.7669196128845215
