Wall time,Step,Value
1720081614.719161,0,2.1722733974456787
1720081699.397151,1,1.971584439277649
1720081791.01708,2,1.7973452806472778
1720081878.447156,3,1.6448118686676025
1720081969.030769,4,1.5126932859420776
1720082082.044989,5,1.397629737854004
1720082168.602391,6,1.2975252866744995
1720082264.026673,7,1.2101536989212036
1720082349.81872,8,1.1348276138305664
1720082436.296992,9,1.069960594177246
1720082525.555113,10,1.0158278942108154
1720082609.987909,11,0.9731670022010803
1720082697.596442,12,0.938697874546051
1720082784.849935,13,0.9108219742774963
1720082870.213552,14,0.887893557548523
1720082957.433263,15,0.8686991333961487
1720083047.776232,16,0.8529669642448425
1720083139.76511,17,0.8393794298171997
1720083223.836162,18,0.8279737234115601
1720083308.926246,19,0.8182617425918579
1720083393.409912,20,0.8098182082176208
1720083478.124288,21,0.8025072813034058
1720083562.808905,22,0.7962148785591125
1720083649.106792,23,0.7907625436782837
1720083739.371538,24,0.785942554473877
1720083823.403731,25,0.7818276882171631
1720083909.057528,26,0.777845025062561
1720083993.271182,27,0.7745007276535034
1720084077.952705,28,0.7715504765510559
1720084163.113569,29,0.7689208984375
1720084249.693657,30,0.7665265798568726
1720084334.589673,31,0.7643163800239563
1720084420.199823,32,0.762424111366272
1720084511.195393,33,0.7606675028800964
1720084602.766421,34,0.759297788143158
1720084693.248798,35,0.757941722869873
1720084775.802693,36,0.7565754055976868
1720084861.928219,37,0.7553062438964844
1720084946.385997,38,0.7544894218444824
1720085031.712935,39,0.7534385919570923
1720085122.171339,40,0.752632737159729
1720085207.313439,41,0.751812219619751
1720085325.454098,42,0.7512745261192322
1720085438.886665,43,0.7503936290740967
1720085529.578582,44,0.7499005198478699
1720085615.299012,45,0.7494053244590759
1720085700.876302,46,0.7488881349563599
1720085786.725205,47,0.7484649419784546
1720085873.215883,48,0.7480939626693726
1720085965.171536,49,0.7477390766143799
