Wall time,Step,Value
1720068765.385386,0,1.452809453010559
1720068836.135336,1,1.0258482694625854
1720068911.545304,2,0.8341283798217773
1720068984.131071,3,0.7518941164016724
1720069054.225491,4,0.7174006700515747
1720069128.942967,5,0.7032250165939331
1720069200.841653,6,0.6972805261611938
1720069272.801183,7,0.6950178742408752
1720069389.813329,8,0.6939234137535095
1720069465.475076,9,0.6933434009552002
1720069541.169061,10,0.6932579874992371
1720069616.8662,11,0.6931678056716919
1720069693.093419,12,0.6930900812149048
1720069766.409848,13,0.6931167840957642
1720069860.838875,14,0.6931513547897339
1720069935.860901,15,0.6930719614028931
1720070010.62884,16,0.6930599212646484
1720070083.986234,17,0.6930557489395142
1720070157.0641,18,0.6931900382041931
1720070229.327406,19,0.6931113600730896
